Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location
140,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5349285074243,-113.523625296244,"(53.5349285074243, -113.523625296244)"
51,Square Picnic Table,Wood,Aggregate,165 STREET NW,4590,WEST MEADOWLARK PARK,WARD 01,53.5296402677201,-113.607079285066,"(53.5296402677201, -113.607079285066)"
104,Square Picnic Table,Wood,Wood,124A AVENUE NW,3170,DOVERCOURT,WARD 02,53.579467868679,-113.561582829457,"(53.579467868679, -113.561582829457)"
242,Square Picnic Table,Wood,Aggregate,74 STREET NW,6480,MICHAELS PARK,WARD 11,53.4794565029155,-113.448409145917,"(53.4794565029155, -113.448409145917)"
246,Square Picnic Table,Wood,Metal,40 STREET NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5538093426536,-113.40341016429,"(53.5538093426536, -113.40341016429)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5099857192251,-113.551293937201,"(53.5099857192251, -113.551293937201)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.527459796683,-113.506470641629,"(53.527459796683, -113.506470641629)"
123,Square Picnic Table,Wood,Aggregate,12 AVENUE NW,5511,TWIN BROOKS,WARD 09,53.4428045339565,-113.526593024128,"(53.4428045339565, -113.526593024128)"
277,Square Picnic Table,Wood,Wood,49 STREET NW,6770,WEINLOS,WARD 12,53.457373106921,-113.418858786469,"(53.457373106921, -113.418858786469)"
113,Square Picnic Table,Wood,Aggregate,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5342011505085,-113.537323483423,"(53.5342011505085, -113.537323483423)"
108,Square Picnic Table,Wood,Metal,WHITEMUD DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.485547276218,-113.556948296771,"(53.485547276218, -113.556948296771)"
208,Square Picnic Table,Wood,Metal,113 AVENUE NW,1160,PARKDALE,WARD 07,53.5629089435155,-113.471226982088,"(53.5629089435155, -113.471226982088)"
91,Square Picnic Table,Wood,Aggregate,104 AVENUE NW,3210,GROVENOR,WARD 06,53.546038973322,-113.568203688598,"(53.546038973322, -113.568203688598)"
116,Square Picnic Table,Wood,Aggregate,124 STREET NW,5210,GRANDVIEW HEIGHTS,WARD 10,53.49919834699,-113.544535875171,"(53.49919834699, -113.544535875171)"
775,Square Picnic Table,Wood,Metal,62 STREET NW,2330,HIGHLANDS,WARD 07,53.5664413771778,-113.433614001012,"(53.5664413771778, -113.433614001012)"
189,Square Picnic Table,Unknown,Unknown,93 STREET NW,1010,ALBERTA AVENUE,WARD 07,53.5709515122845,-113.483848119503,"(53.5709515122845, -113.483848119503)"
295,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,WARD 04,53.5845163812962,-113.372359621745,"(53.5845163812962, -113.372359621745)"
140,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5329665636563,-113.520672062481,"(53.5329665636563, -113.520672062481)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.5542082756612,-113.386714224017,"(53.5542082756612, -113.386714224017)"
505,Square Picnic Table,Wood,Aggregate,105 AVENUE NW,4090,CANORA,WARD 01,53.5475106671314,-113.581874112611,"(53.5475106671314, -113.581874112611)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5289061313208,-113.546669954084,"(53.5289061313208, -113.546669954084)"
108,Square Picnic Table,Wood,Wood,LANSDOWNE DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.4858743275505,-113.555017708614,"(53.4858743275505, -113.555017708614)"
140,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.534122893112,-113.521681369206,"(53.534122893112, -113.521681369206)"
163,Square Picnic Table,Wood,Aggregate,58 AVENUE NW,5320,PLEASANTVIEW,WARD 10,53.4952746851117,-113.500172866506,"(53.4952746851117, -113.500172866506)"
235,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,WARD 07,53.562478814941,-113.453182941889,"(53.562478814941, -113.453182941889)"
160,Square Picnic Table,Wood,Aggregate,132 AVENUE NW,3260,LAUDERDALE,WARD 02,53.5912182849367,-113.512454198064,"(53.5912182849367, -113.512454198064)"
13,Square Picnic Table,Wood,Aggregate,190 STREET NW,4220,JAMIESON PLACE,WARD 05,53.490417850851,-113.650924054144,"(53.490417850851, -113.650924054144)"
25,Square Picnic Table,Wood,Aggregate,57 AVENUE NW,4110,DECHENE,WARD 05,53.4913899860562,-113.636643456277,"(53.4913899860562, -113.636643456277)"
159,Square Picnic Table,Wood,Aggregate,134 AVENUE NW,3390,ROSSLYN,WARD 02,53.5940076272951,-113.51202628726,"(53.5940076272951, -113.51202628726)"
82,Square Picnic Table,Wood,Aggregate,LEGER WAY NW,5630,LEGER,WARD 09,53.4595053602125,-113.57688351297,"(53.4595053602125, -113.57688351297)"
170,Round Picnic Table,Unknown,Unknown,99 STREET NW,1090,DOWNTOWN,WARD 06,53.5449043632445,-113.489649567577,"(53.5449043632445, -113.489649567577)"
858,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,WARD 06,53.5391256839708,-113.542946924106,"(53.5391256839708, -113.542946924106)"
148,Square Picnic Table,Wood,Aggregate,109 AVENUE NW,1180,QUEEN MARY PARK,WARD 06,53.5541405536354,-113.524071425742,"(53.5541405536354, -113.524071425742)"
235,Square Picnic Table,Metal,Metal,BORDEN PARK ROAD NW,1240,VIRGINIA PARK,WARD 07,53.5630839731966,-113.457485521246,"(53.5630839731966, -113.457485521246)"
479,Square Picnic Table,Wood,Metal,132 STREET NW,3440,WESTMOUNT,WARD 06,53.5522897953884,-113.547280014062,"(53.5522897953884, -113.547280014062)"
82,Square Picnic Table,Wood,Aggregate,LEGER WAY NW,5630,LEGER,WARD 09,53.4594337477723,-113.576500031866,"(53.4594337477723, -113.576500031866)"
126,Round Picnic Table,Metal,Metal,162 AVENUE NW,3180,DUNLUCE,WARD 03,53.6219743623649,-113.528197717103,"(53.6219743623649, -113.528197717103)"
183,Square Picnic Table,Unknown,Unknown,95 STREET NW,1140,MCCAULEY,WARD 06,53.5563436520962,-113.484544236926,"(53.5563436520962, -113.484544236926)"
479,Square Picnic Table,Wood,Aggregate,109A AVENUE NW,3440,WESTMOUNT,WARD 06,53.5556190828393,-113.531346721687,"(53.5556190828393, -113.531346721687)"
113,Square Picnic Table,Wood,Wood,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5269179660143,-113.549969347295,"(53.5269179660143, -113.549969347295)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5095282191805,-113.550174073244,"(53.5095282191805, -113.550174073244)"
170,Round Picnic Table,Unknown,Unknown,99 STREET NW,1090,DOWNTOWN,WARD 06,53.5441181500765,-113.488732106475,"(53.5441181500765, -113.488732106475)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5272577627236,-113.507797357873,"(53.5272577627236, -113.507797357873)"
103,Square Picnic Table,Concrete,Concrete,139 STREET NW,3450,WOODCROFT,WARD 02,53.564632593325,-113.561787789612,"(53.564632593325, -113.561787789612)"
901,Square Picnic Table,Wood,Metal,GATEWAY PARK ROAD SW,5466,CASHMAN,WARD 09,53.4117174998629,-113.499180608666,"(53.4117174998629, -113.499180608666)"
113,Square Picnic Table,Wood,Aggregate,EMILY MURPHY PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5327071750272,-113.533239149944,"(53.5327071750272, -113.533239149944)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.503306569816,-113.557977233169,"(53.503306569816, -113.557977233169)"
226,Square Picnic Table,Unknown,Unknown,CORONET ROAD NW,6170,DAVIES INDUSTRIAL WEST,WARD 11,53.5006700396844,-113.451145972772,"(53.5006700396844, -113.451145972772)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5551674627886,-113.406179303991,"(53.5551674627886, -113.406179303991)"
140,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5328729309924,-113.517128383615,"(53.5328729309924, -113.517128383615)"
140,Square Picnic Table,Wood,Wood,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5336918217871,-113.524331732733,"(53.5336918217871, -113.524331732733)"
92,Square Picnic Table,Wood,Metal,143A STREET NW,3140,CRESTWOOD,WARD 01,53.5344476286706,-113.569610640547,"(53.5344476286706, -113.569610640547)"
170,Square Picnic Table,Unknown,Unknown,104 AVENUE NW,1090,DOWNTOWN,WARD 06,53.5464653802479,-113.490857064913,"(53.5464653802479, -113.490857064913)"
183,Other Table,Concrete,Concrete,108A AVENUE NW,1140,MCCAULEY,WARD 06,53.5561881268981,-113.483741204137,"(53.5561881268981, -113.483741204137)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5244946270508,-113.54488381749,"(53.5244946270508, -113.54488381749)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5089858450727,-113.55286384188,"(53.5089858450727, -113.55286384188)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.5546584116159,-113.385593537487,"(53.5546584116159, -113.385593537487)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5563177891926,-113.406863034273,"(53.5563177891926, -113.406863034273)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.5551944238146,-113.385766249314,"(53.5551944238146, -113.385766249314)"
261,Square Picnic Table,Concrete,Aggregate,44 AVENUE NW,6500,MILL WOODS GOLF COURSE,WARD 11,53.4847935882471,-113.423869206512,"(53.4847935882471, -113.423869206512)"
167,Square Picnic Table,Wood,Aggregate,29A AVENUE NW,5180,ERMINESKIN,WARD 10,53.4604854584263,-113.514032454918,"(53.4604854584263, -113.514032454918)"
106,Square Picnic Table,Composite,Metal,CUMBERLAND ROAD NW,3150,CUMBERLAND,WARD 02,53.6076672868914,-113.556837704876,"(53.6076672868914, -113.556837704876)"
858,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,WARD 06,53.5397971256706,-113.539721428708,"(53.5397971256706, -113.539721428708)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5274046508906,-113.504254003354,"(53.5274046508906, -113.504254003354)"
248,Square Picnic Table,Wood,Aggregate,28 AVENUE NW,6510,MILL WOODS PARK,WARD 11,53.4566116043937,-113.43838077614,"(53.4566116043937, -113.43838077614)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5091561348534,-113.554102518546,"(53.5091561348534, -113.554102518546)"
170,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,WARD 06,53.5441053548199,-113.489852933878,"(53.5441053548199, -113.489852933878)"
161,Square Picnic Table,Wood,Aggregate,48 AVENUE NW,5170,EMPIRE PARK,WARD 10,53.4871008021714,-113.501222160995,"(53.4871008021714, -113.501222160995)"
108,Square Picnic Table,Wood,Wood,WHITEMUD DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.4852065334825,-113.556920366296,"(53.4852065334825, -113.556920366296)"
118,Square Picnic Table,Wood,Aggregate,132 STREET NW,3320,OXFORD,WARD 02,53.6183828894785,-113.548112349198,"(53.6183828894785, -113.548112349198)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.559371718986,-113.384797094235,"(53.559371718986, -113.384797094235)"
236,Square Picnic Table,Wood,Aggregate,121 AVENUE NW,2550,MONTROSE,WARD 07,53.5756118919003,-113.450032499329,"(53.5756118919003, -113.450032499329)"
278,Square Picnic Table,Wood,Aggregate,MILL WOODS ROAD EAST NW,6530,MINCHAU,WARD 12,53.4687652370112,-113.409053649683,"(53.4687652370112, -113.409053649683)"
148,Square Picnic Table,Metal,Metal,110 AVENUE NW,1180,QUEEN MARY PARK,WARD 06,53.5564117257167,-113.50893574786,"(53.5564117257167, -113.50893574786)"
189,Square Picnic Table,Wood,Aggregate,113 AVENUE NW,1010,ALBERTA AVENUE,WARD 07,53.5629412305565,-113.482379763796,"(53.5629412305565, -113.482379763796)"
149,Square Picnic Table,Composite,Metal,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.527071475652,-113.509187679408,"(53.527071475652, -113.509187679408)"
149,Square Picnic Table,Wood,Metal,109 STREET NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5285558827475,-113.510239301542,"(53.5285558827475, -113.510239301542)"
407,Square Picnic Table,Wood,Aggregate,105A AVENUE NW,1020,BOYLE STREET,WARD 06,53.5517782813864,-113.47599697013,"(53.5517782813864, -113.47599697013)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5277134162846,-113.541793243801,"(53.5277134162846, -113.541793243801)"
392,Square Picnic Table,Wood,Metal,THIBAULT WYND NW,5640,TERWILLEGAR TOWNE,WARD 09,53.4460848948478,-113.586782869089,"(53.4460848948478, -113.586782869089)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5303765836265,-113.55338026138,"(53.5303765836265, -113.55338026138)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5290712497893,-113.54661219924,"(53.5290712497893, -113.54661219924)"
297,Square Picnic Table,Concrete,Aggregate,38 STREET NW,6370,KINISKI GARDENS,WARD 12,53.4750556564224,-113.399906509643,"(53.4750556564224, -113.399906509643)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5580309866447,-113.405115264039,"(53.5580309866447, -113.405115264039)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5035821530612,-113.557130367781,"(53.5035821530612, -113.557130367781)"
149,Square Picnic Table,Wood,Metal,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5264164065799,-113.509399094749,"(53.5264164065799, -113.509399094749)"
108,Square Picnic Table,Wood,Metal,LANSDOWNE DRIVE NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.4859131673376,-113.55647144377,"(53.4859131673376, -113.55647144377)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.557746941744,-113.406103303089,"(53.557746941744, -113.406103303089)"
103,Square Picnic Table,Wood,Aggregate,112 AVENUE NW,3450,WOODCROFT,WARD 02,53.560720531608,-113.562641211098,"(53.560720531608, -113.562641211098)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5090143911597,-113.556378422803,"(53.5090143911597, -113.556378422803)"
92,Square Picnic Table,Wood,Metal,143A STREET NW,3140,CRESTWOOD,WARD 01,53.5344242133156,-113.569611860762,"(53.5344242133156, -113.569611860762)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5038314823809,-113.560203096345,"(53.5038314823809, -113.560203096345)"
108,Square Picnic Table,Wood,Wood,RAINBOW VALLEY ROAD NW,5550,WHITEMUD CREEK RAVINE NORTH,WARD 10,53.4854421149537,-113.555870458622,"(53.4854421149537, -113.555870458622)"
183,Square Picnic Table,Wood,Metal,107A AVENUE NW,1140,MCCAULEY,WARD 06,53.5532218879746,-113.485548957793,"(53.5532218879746, -113.485548957793)"
857,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5091596761076,-113.554101133788,"(53.5091596761076, -113.554101133788)"
76,Other Table,Wood,Aggregate,93 AVENUE NW,4500,SHERWOOD,WARD 01,53.5287381237787,-113.587195686756,"(53.5287381237787, -113.587195686756)"
140,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5337690152436,-113.524261383952,"(53.5337690152436, -113.524261383952)"
235,Other Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,WARD 07,53.5623334804772,-113.455141174503,"(53.5623334804772, -113.455141174503)"
183,Square Picnic Table,Wood,Metal,95 STREET NW,1140,MCCAULEY,WARD 06,53.5570265175824,-113.485140677924,"(53.5570265175824, -113.485140677924)"
851,Square Picnic Table,Wood,Wood,98A STREET NW,6491,MILL CREEK RAVINE NORTH,WARD 08,53.5313117543219,-113.483435650299,"(53.5313117543219, -113.483435650299)"
113,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5337307996032,-113.537933851956,"(53.5337307996032, -113.537933851956)"
149,Square Picnic Table,Wood,Metal,109 STREET NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5268882984733,-113.510021524838,"(53.5268882984733, -113.510021524838)"
126,Square Picnic Table,Wood,Aggregate,153 AVENUE NW,3180,DUNLUCE,WARD 03,53.6167287878524,-113.52549718133,"(53.6167287878524, -113.52549718133)"
149,Square Picnic Table,Composite,Metal,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5264056314899,-113.509203978775,"(53.5264056314899, -113.509203978775)"
113,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5338542857881,-113.538145951341,"(53.5338542857881, -113.538145951341)"
295,Square Picnic Table,Wood,Metal,HERMITAGE PARK ROAD NW,2630,RIVER VALLEY HERMITAGE,WARD 04,53.5786046110799,-113.372985711334,"(53.5786046110799, -113.372985711334)"
746,Square Picnic Table,Metal,Metal,RUTHERFORD ROAD SW,5454,RUTHERFORD,WARD 09,53.4202169505306,-113.534892523996,"(53.4202169505306, -113.534892523996)"
857,Square Picnic Table,Wood,Wood,WHITEMUD DRIVE NW,3382,RIVER VALLEY LAURIER,WARD 05,53.5114729880195,-113.569545346811,"(53.5114729880195, -113.569545346811)"
103,Square Picnic Table,Concrete,Concrete,139 STREET NW,3450,WOODCROFT,WARD 02,53.5645028901837,-113.562055012113,"(53.5645028901837, -113.562055012113)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5039762024207,-113.559676764445,"(53.5039762024207, -113.559676764445)"
229,Square Picnic Table,Wood,Aggregate,36 AVENUE NW,6600,RICHFIELD,WARD 11,53.4689680232903,-113.452555384547,"(53.4689680232903, -113.452555384547)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.5539551420126,-113.384917180924,"(53.5539551420126, -113.384917180924)"
170,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,WARD 06,53.5439935417535,-113.489953888072,"(53.5439935417535, -113.489953888072)"
803,Square Picnic Table,Wood,Aggregate,195 AVENUE NE,2670,RURAL NORTH EAST HORSE HILL,WARD 04,53.6570431116863,-113.342736682782,"(53.6570431116863, -113.342736682782)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5272449018626,-113.50818839502,"(53.5272449018626, -113.50818839502)"
858,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,WARD 06,53.5396497871006,-113.540750067152,"(53.5396497871006, -113.540750067152)"
170,Square Picnic Table,Unknown,Unknown,102 AVENUE NW,1090,DOWNTOWN,WARD 06,53.5438919707726,-113.48993112057,"(53.5438919707726, -113.48993112057)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5277672950754,-113.551833306903,"(53.5277672950754, -113.551833306903)"
781,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,WARD 07,53.554224225125,-113.384781672571,"(53.554224225125, -113.384781672571)"
479,Square Picnic Table,Wood,Aggregate,103 AVENUE NW,3440,WESTMOUNT,WARD 06,53.5447673775342,-113.538040700517,"(53.5447673775342, -113.538040700517)"
858,Square Picnic Table,Wood,Aggregate,GROAT ROAD NW,3381,RIVER VALLEY GLENORA,WARD 06,53.5392721265073,-113.54019803047,"(53.5392721265073, -113.54019803047)"
73,Square Picnic Table,Wood,Metal,FORT EDMONTON PARK ROAD NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5050663589208,-113.561267544345,"(53.5050663589208, -113.561267544345)"
173,Square Picnic Table,Wood,Metal,105 STREET NW,1030,CENTRAL MCDOUGALL,WARD 06,53.5492568361511,-113.500442582347,"(53.5492568361511, -113.500442582347)"
211,Square Picnic Table,Wood,Metal,JASPER AVENUE NW,1190,RIVER VALLEY KINNAIRD,WARD 07,53.5550754514884,-113.467961409075,"(53.5550754514884, -113.467961409075)"
261,Square Picnic Table,Concrete,Aggregate,44 AVENUE NW,6500,MILL WOODS GOLF COURSE,WARD 11,53.4846300556978,-113.422746046896,"(53.4846300556978, -113.422746046896)"
246,Square Picnic Table,Wood,Metal,GOLDBAR PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5573131045184,-113.40564026036,"(53.5573131045184, -113.40564026036)"
263,Square Picnic Table,Wood,Metal,128 AVENUE NW,2380,KENNEDALE INDUSTRIAL,WARD 04,53.5850618638833,-113.43102224391,"(53.5850618638833, -113.43102224391)"
235,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,WARD 07,53.561507441076,-113.456130990319,"(53.561507441076, -113.456130990319)"
235,Round Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,WARD 07,53.5623344274839,-113.455107744114,"(53.5623344274839, -113.455107744114)"
122,Square Picnic Table,Wood,Aggregate,25 AVENUE NW,5070,BLUE QUILL ESTATES,WARD 10,53.4568188369367,-113.539137369247,"(53.4568188369367, -113.539137369247)"
149,Square Picnic Table,Wood,Metal,QUEEN ELIZABETH PARK ROAD NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5249512794085,-113.494402807517,"(53.5249512794085, -113.494402807517)"
107,Square Picnic Table,Wood,Aggregate,104 AVENUE NW,3200,GLENORA,WARD 06,53.5466144990789,-113.557059894841,"(53.5466144990789, -113.557059894841)"
140,Square Picnic Table,Wood,Metal,RIVER VALLEY ROAD NW,1200,RIVER VALLEY VICTORIA,WARD 06,53.5370951356638,-113.530846385216,"(53.5370951356638, -113.530846385216)"
243,Square Picnic Table,Wood,Aggregate,MILL WOODS ROAD SOUTH NW,6200,EKOTA,WARD 11,53.4457639474066,-113.448448315469,"(53.4457639474066, -113.448448315469)"
160,Square Picnic Table,Composite,Metal,131A AVENUE NW,3260,LAUDERDALE,WARD 02,53.5905042050147,-113.504708401055,"(53.5905042050147, -113.504708401055)"
246,Square Picnic Table,Wood,Metal,CAPILANO PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,WARD 08,53.5613909326121,-113.42066791108,"(53.5613909326121, -113.42066791108)"
73,Square Picnic Table,Wood,Metal,FOX DRIVE NW,5400,RIVER VALLEY WHITEMUD,WARD 10,53.5039823249959,-113.559649096444,"(53.5039823249959, -113.559649096444)"
248,Square Picnic Table,Wood,Aggregate,28 AVENUE NW,6510,MILL WOODS PARK,WARD 11,53.4565061519884,-113.436590600401,"(53.4565061519884, -113.436590600401)"
159,Square Picnic Table,Concrete,Aggregate,132 AVENUE NW,3390,ROSSLYN,WARD 02,53.5925330469144,-113.514084782143,"(53.5925330469144, -113.514084782143)"
113,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,WARD 08,53.5268415275692,-113.544682637333,"(53.5268415275692, -113.544682637333)"
149,Square Picnic Table,Wood,Wood,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,WARD 08,53.5270664729213,-113.50745159253,"(53.5270664729213, -113.50745159253)"
775,Square Picnic Table,Wood,Metal,113 AVENUE NW,2330,HIGHLANDS,WARD 07,53.567140990033,-113.433655375745,"(53.567140990033, -113.433655375745)"
